Feature,RF_Importance,F_Score
"('chroma_stft', 'skew.4')",0.0012065961231824836,3363.503141167428
"('tonnetz', 'max.2')",0.0012018106627449223,1768.6356718334323
"('chroma_stft', 'std.7')",0.0012010631338665368,2057.282116426224
"('mfcc', 'kurtosis.11')",0.0011969273604356993,522.0765629822
"('chroma_cqt', 'kurtosis.8')",0.0011948162003223499,73.6481909043326
"('chroma_stft', 'mean.3')",0.0011850206260991013,3844.911406376644
"('mfcc', 'min.13')",0.001183670723466441,2119.3505923479024
"('tonnetz', 'max.3')",0.0011817365616511185,1599.8388942705508
"('mfcc', 'min.17')",0.00117036036910017,1473.3007345828803
"('mfcc', 'min.15')",0.0011695030615303569,1637.0790202159308
"('chroma_stft', 'mean.4')",0.0011614941015145237,3938.6104114343834
"('chroma_stft', 'std.2')",0.001156755989220521,2489.0499702310613
"('chroma_cqt', 'kurtosis.5')",0.0011534527494407875,267.8219718138663
"('mfcc', 'skew.17')",0.0011438058168227988,894.9656325026571
"('chroma_cens', 'std.7')",0.0011393802050390606,1620.8672323744577
"('chroma_cqt', 'min.7')",0.0011332095712333493,679.0041707038287
"('chroma_cens', 'kurtosis.11')",0.0011296909379194552,44.236099831531334
"('chroma_cqt', 'min.10')",0.0011216346419576616,930.4381178796898
"('tonnetz', 'mean')",0.0011201574326379776,806.7920529330756
"('spectral_contrast', 'max.1')",0.001119764192735181,1662.759192537803
"('tonnetz', 'kurtosis')",0.0011194441848182842,242.4635662345674
"('tonnetz', 'skew.5')",0.0011149811732335572,1475.557173339437
"('chroma_cqt', 'median.7')",0.0011145102585106005,1632.4499417970753
"('chroma_stft', 'min.11')",0.0011047262096192127,511.4135719078494
"('chroma_cens', 'kurtosis.1')",0.0011015939490037862,43.700403130323
"('chroma_stft', 'std.4')",0.0011006549579909333,469.9965646968141
"('chroma_cens', 'mean.2')",0.0010957847189239855,560.9765436123603
"('chroma_stft', 'min.5')",0.0010899831998350553,657.7512278523371
"('tonnetz', 'mean.5')",0.0010860730370201171,470.46657589386575
"('chroma_cqt', 'kurtosis.4')",0.0010831373117063158,134.53297712393137
"('chroma_cens', 'kurtosis')",0.0010829641795110927,60.91467533042051
"('chroma_stft', 'min.3')",0.0010816864562738498,685.0414563746282
"('chroma_cens', 'median.10')",0.001076426221909374,630.8621074309422
"('chroma_cqt', 'mean')",0.0010747986283454465,1197.4829387272046
"('mfcc', 'kurtosis.10')",0.001072793868729994,205.66131429035886
"('chroma_cens', 'median.6')",0.0010684605799040827,2154.7262186301505
"('mfcc', 'kurtosis.8')",0.0010645001136218334,257.2890279873785
"('chroma_cqt', 'kurtosis.11')",0.0010575634458464085,9.109322474993165
"('chroma_stft', 'skew.7')",0.001057190954513811,2925.2022221207903
"('mfcc', 'skew.16')",0.0010571200955225948,1080.9591392694315
"('chroma_cens', 'skew.8')",0.0010559195182023506,309.3365853086772
"('chroma_cens', 'kurtosis.3')",0.0010518647150708237,216.12150790946987
"('chroma_stft', 'mean.7')",0.001049284942954853,3527.8291611150094
"('mfcc', 'kurtosis.9')",0.0010492057682203034,306.94367053472484
"('tonnetz', 'median.5')",0.0010460671946209551,532.6057072756215
"('chroma_cqt', 'kurtosis.10')",0.0010418412046250061,8.433222288614628
"('chroma_stft', 'kurtosis.7')",0.0010415928918023672,79.09569871182764
